抽せん日,本数字,ボーナス数字,回別,1等口数,1等当選金額,2等口数,2等当選金額,3等口数,3等当選金額,4等口数,4等当選金額,5等口数,5等当選金額,6等口数,6等当選金額,キャリーオーバー
2013-04-05,07 10 12 17 23 28 34,03 15,第1回,1口,"301,716,500円",24口,"4,144,600円",168口,"828,900円","8,254口","9,800円","115,022口","1,700円","189,593口",900円,0円
2013-04-12,20 24 29 31 33 34 35,12 32,第2回,該当なし,該当なし,3口,"27,968,500円",63口,"1,864,500円","3,631口","18,900円","67,155口","2,500円","122,990口","1,200円","247,506,600円"
2013-04-19,02 07 08 11 14 23 31,05 15,第3回,該当なし,該当なし,15口,"8,717,200円",218口,"839,700円","9,957口","10,700円","147,796口","1,700円","252,702口",900円,"646,583,065円"
2013-04-26,12 13 22 23 24 28 29,02 14,第4回,該当なし,該当なし,6口,"22,730,100円",132口,"1,446,400円","7,217口","15,500円","127,060口","2,100円","217,162口","1,100円","1,055,636,845円"
2013-05-03,01 03 04 05 16 21 28,22 31,第5回,該当なし,該当なし,13口,"11,525,600円",217口,"966,600円","10,451口","11,700円","163,965口","1,800円","239,669口","1,100円","1,502,479,900円"
2013-05-10,05 15 19 23 30 34 35,06 25,第6回,該当なし,該当なし,13口,"12,174,300円",166口,"1,334,700円","9,111口","14,200円","158,890口","2,000円","271,441口","1,000円","1,975,256,125円"
2013-05-17,01 03 05 07 27 29 33,06 15,第7回,3口,"800,000,000円",18口,"8,835,900円",209口,"1,065,300円","10,300口","12,600円","164,712口","1,900円","287,966口","1,000円","41,801,960円"
2013-05-24,02 21 28 29 30 32 36,06 08,第8回,該当なし,該当なし,4口,"28,966,000円",98口,"1,655,100円","5,628口","16,900円","98,454口","2,300円","201,752口","1,000円","390,672,500円"
2013-05-31,03 04 15 23 27 30 36,13 35,第9回,2口,"380,111,200円",4口,"30,883,600円",201口,"860,400円","8,281口","12,200円","129,548口","1,900円","213,199口","1,000円",0円
2013-06-07,01 02 03 06 24 28 30,16 20,第10回,該当なし,該当なし,4口,"26,389,000円",147口,"1,005,200円","6,861口","12,600円","113,261口","1,800円","166,137口","1,100円","321,524,240円"
2013-06-14,09 15 26 29 32 34 36,14 35,第11回,1口,"707,670,400円",6口,"20,977,400円",138口,"1,276,800円","6,700口","15,400円","112,138口","2,200円","211,430口","1,000円",0円
2013-06-21,11 12 14 19 26 27 33,24 32,第12回,1口,"296,535,200円",9口,"11,274,500円",198口,"717,400円","7,888口","10,500円","111,522口","1,800円","167,040口","1,100円",0円
2013-06-28,06 10 16 21 27 28 35,15 34,第13回,該当なし,該当なし,8口,"12,556,800円",116口,"1,212,300円","6,420口","12,800円","102,857口","1,900円","180,788口","1,000円","297,797,015円"
2013-07-05,04 07 08 09 24 28 30,34 36,第14回,2口,"316,971,200円",16口,"7,259,000円",206口,"789,300円","9,151口","10,400円","138,034口","1,700円","208,315口","1,000円",0円
2013-07-12,02 10 14 17 23 25 35,08 29,第15回,2口,"139,246,400円",10口,"9,268,900円",112口,"1,158,600円","5,732口","13,200円","92,282口","2,000円","176,674口",900円,0円
2013-07-19,05 06 09 13 16 21 23,08 34,第16回,1口,"259,314,500円",4口,"21,862,000円",105口,"1,165,900円","4,943口","14,500円","83,727口","2,100円","151,462口","1,000円",0円
2013-07-26,02 03 05 22 34 36 37,07 15,第17回,該当なし,該当なし,4口,"20,977,700円",90口,"1,305,200円","4,666口","14,700円","77,221口","2,200円","169,662口",800円,"257,444,175円"
2013-08-02,12 17 21 24 29 31 36,20 26,第18回,4口,"138,991,400円",6口,"16,682,100円",217口,"645,700円","6,847口","12,000円","97,855口","2,000円","147,556口","1,200円",0円
2013-08-09,02 14 19 20 21 22 31,01 15,第19回,該当なし,該当なし,4口,"19,848,700円",76口,"1,462,500円","3,806口","17,100円","64,380口","2,500円","114,009口","1,200円","234,808,895円"
2013-08-16,02 05 13 20 21 23 28,11 22,第20回,該当なし,該当なし,7口,"14,478,600円",127口,"1,117,200円","8,054口","10,300円","106,761口","1,900円","175,616口","1,000円","536,318,350円"
2013-08-23,01 09 13 15 25 30 33,19 28,第21回,1口,"800,000,000円",10口,"12,244,200円",132口,"1,298,600円","6,801口","14,700円","112,769口","2,200円","194,579口","1,100円","95,906,390円"
2013-08-30,02 04 08 09 15 23 25,03 10,第22回,該当なし,該当なし,14口,"7,236,900円",164口,"864,800円","7,789口","10,600円","117,980口","1,700円","203,297口",900円,"392,492,300円"
2013-09-06,04 08 11 25 28 29 30,14 32,第23回,1口,"746,478,700円",12口,"9,581,100円",166口,"969,600円","8,013口","11,700円","124,341口","1,800円","193,931口","1,000円",0円
2013-09-13,04 05 08 10 16 19 33,02 29,第24回,該当なし,該当なし,6口,"14,535,600円",120口,"1,017,400円","5,270口","13,500円","86,619口","2,000円","154,752口","1,000円","257,380,635円"
2013-09-20,01 06 11 16 17 18 21,10 24,第25回,2口,"288,220,500円",4口,"25,836,500円",102口,"1,418,400円","5,581口","15,200円","91,372口","2,200円","173,039口","1,000円",0円
2013-09-27,11 13 16 18 26 31 36,21 27,第26回,該当なし,該当なし,3口,"27,534,000円",68口,"1,700,600円","4,092口","16,500円","69,621口","2,400円","131,086口","1,100円","242,988,750円"
2013-10-04,01 10 11 14 17 18 28,25 26,第27回,該当なし,該当なし,7口,"14,134,500円",130口,"1,065,500円","5,972口","13,600円","97,788口","2,000円","176,737口","1,000円","534,246,145円"
2013-10-11,06 07 12 15 19 35 37,01 11,第28回,1口,"800,000,000円",8口,"14,005,000円",173口,"906,600円","8,429口","10,900円","117,449口","1,900円","181,526口","1,100円","62,941,930円"
2013-10-18,02 03 16 17 24 26 28,15 31,第29回,該当なし,該当なし,8口,"12,465,300円",118口,"1,183,100円","6,600口","12,400円","109,583口","1,800円","183,727口",900円,"369,168,905円"
2013-10-25,06 08 13 22 26 32 36,16 34,第30回,該当なし,該当なし,10口,"11,720,500円",115口,"1,426,800円","6,578口","14,600円","109,416口","2,100円","187,753口","1,100円","719,099,050円"
2013-11-01,09 12 13 19 23 33 34,20 32,第31回,1口,"800,000,000円",10口,"13,498,600円",161口,"1,173,700円","8,364口","13,200円","133,958口","2,000円","205,732口","1,100円","330,605,330円"
2013-11-08,03 08 15 18 27 29 37,31 34,第32回,3口,"225,745,200円",9口,"12,679,800円",176口,"907,700円","8,081口","11,500円","125,046口","1,800円","194,399口","1,000円",0円
2013-11-15,01 04 17 24 29 33 36,19 30,第33回,該当なし,該当なし,6口,"14,839,800円",127口,"981,500円","5,830口","12,500円","87,193口","2,000円","142,603口","1,100円","266,123,875円"
2013-11-22,04 06 07 23 24 32 35,08 27,第34回,該当なし,該当なし,9口,"11,700,500円",147口,"1,002,800円","6,976口","12,300円","108,906口","1,900円","197,576口",900円,"588,283,060円"
2013-11-29,01 16 18 19 25 30 34,26 36,第35回,該当なし,該当なし,2口,"57,126,000円",88口,"1,817,600円","6,079口","15,400円","103,961口","2,200円","170,370口","1,200円","921,548,030円"
2013-12-06,05 06 10 11 20 28 36,25 37,第36回,1口,"800,000,000円",10口,"12,705,800円",200口,"889,300円","9,252口","11,200円","142,419口","1,800円","223,589口","1,000円","494,443,545円"
2013-12-13,07 08 10 13 14 19 37,29 33,第37回,1口,"800,000,000円",8口,"13,943,800円",125口,"1,249,300円","6,741口","13,500円","113,597口","1,900円","193,752口","1,000円","33,565,555円"
2013-12-20,04 14 19 22 24 29 34,08 31,第38回,1口,"323,677,300円",19口,"5,241,700円",670口,"208,100円","6,320口","12,900円","89,901口","2,200円","163,891口","1,100円",0円
2013-12-27,07 13 19 23 25 26 30,01 18,第39回,1口,"279,333,700円",9口,"10,369,500円",104口,"1,256,200円","5,865口","13,000円","94,790口","1,900円","166,850口","1,000円",0円
2014-01-10,02 06 11 23 26 31 34,07 20,第40回,1口,"281,251,400円",8口,"11,663,700円",136口,"960,500円","6,276口","12,200円","97,091口","1,900円","160,108口","1,000円",0円
2014-01-17,02 03 08 15 34 35 36,25 28,第41回,該当なし,該当なし,18口,"4,576,600円",114口,"1,011,600円","5,690口","11,800円","85,743口","1,900円","163,995口",900円,"242,481,625円"
2014-01-24,02 15 16 17 23 31 33,08 26,第42回,1口,"564,832,800円",9口,"11,822,000円",152口,"979,900円","6,789口","12,800円","106,318口","2,000円","198,943口",900円,0円
2014-01-31,04 06 07 08 24 31 37,05 13,第43回,該当なし,該当なし,7口,"12,336,300円",131口,"922,800円","6,190口","11,400円","99,278口","1,700円","174,501口",900円,"253,658,750円"
2014-02-07,03 04 06 15 27 28 29,01 14,第44回,該当なし,該当なし,26口,"4,030,700円",285口,"514,700円","10,327口","8,300円","128,463口","1,600円","201,888口",900円,"569,611,595円"
2014-02-14,01 02 09 18 21 27 33,25 31,第45回,該当なし,該当なし,9口,"12,406,400円",163口,"959,000円","7,190口","12,700円","109,093口","2,000円","182,578口","1,100円","899,790,300円"
2014-02-21,02 05 06 15 23 27 30,04 35,第46回,1口,"800,000,000円",21口,"6,075,000円",279口,"640,100円","11,944口","8,700円","166,273口","1,500円","269,340口",800円,"491,347,345円"
2014-02-28,02 09 11 14 20 21 36,06 15,第47回,2口,"411,638,000円",10口,"11,192,600円",127口,"1,233,800円","6,304口","14,500円","100,950口","2,200円","179,186口","1,100円",0円
2014-03-07,03 05 24 26 29 30 34,08 35,第48回,1口,"240,970,300円",6口,"13,821,600円",96口,"1,209,300円","4,568口","14,900円","78,659口","2,100円","150,052口","1,000円",0円
2014-03-14,08 11 12 17 24 26 27,14 21,第49回,1口,"237,579,900円",9口,"8,854,400円",142口,"785,600円","5,956口","10,900円","91,203口","1,700円","129,398口","1,100円",0円
2014-03-21,03 04 07 08 15 24 29,11 16,第50回,2口,"112,997,700円",13口,"5,740,400円",193口,"541,300円","8,096口","7,500円","108,710口","1,300円","167,151口",800円,0円
2014-03-28,01 04 05 08 20 23 35,15 33,第51回,該当なし,該当なし,7口,"11,055,400円",85口,"1,274,600円","5,048口","12,500円","79,109口","1,900円","140,349口","1,000円","228,789,300円"
2014-04-04,08 10 22 24 26 32 34,05 09,第52回,該当なし,該当なし,7口,"13,429,000円",78口,"1,687,200円","4,588口","16,800円","80,076口","2,300円","157,564口","1,000円","517,585,780円"
