抽せん日,回別,本数字,ボーナス数字,口数,購入金額,当せん金額,収支,最高等級,最高本数字一致数,当せん口数,予測1,予測1_戦略,予測1_本数字一致,予測1_ボーナス一致,予測1_等級,予測1_当せん金額,予測2,予測2_戦略,予測2_本数字一致,予測2_ボーナス一致,予測2_等級,予測2_当せん金額,予測3,予測3_戦略,予測3_本数字一致,予測3_ボーナス一致,予測3_等級,予測3_当せん金額,予測4,予測4_戦略,予測4_本数字一致,予測4_ボーナス一致,予測4_等級,予測4_当せん金額,予測5,予測5_戦略,予測5_本数字一致,予測5_ボーナス一致,予測5_等級,予測5_当せん金額,予測6,予測6_戦略,予測6_本数字一致,予測6_ボーナス一致,予測6_等級,予測6_当せん金額,予測7,予測7_戦略,予測7_本数字一致,予測7_ボーナス一致,予測7_等級,予測7_当せん金額,予測8,予測8_戦略,予測8_本数字一致,予測8_ボーナス一致,予測8_等級,予測8_当せん金額,予測9,予測9_戦略,予測9_本数字一致,予測9_ボーナス一致,予測9_等級,予測9_当せん金額,予測10,予測10_戦略,予測10_本数字一致,予測10_ボーナス一致,予測10_等級,予測10_当せん金額
2013-04-12,2,"20, 24, 29, 31, 33, 34, 35","12, 32",10,3000,0,-3000,ハズレ,2,0,"07, 10, 12, 17, 23, 28, 34",DIFFUSION,1,1,ハズレ,0,"05, 10, 12, 17, 23, 28, 34",DIFFUSION,1,1,ハズレ,0,"07, 10, 12, 17, 23, 28, 31",DIFFUSION,1,1,ハズレ,0,"07, 10, 12, 17, 23, 29, 34",DIFFUSION,2,1,ハズレ,0,"07, 10, 12, 17, 23, 28, 33",MULTI_AGENT_PPO,1,1,ハズレ,0,"07, 10, 17, 22, 23, 28, 34",MULTI_AGENT_PPO,1,0,ハズレ,0,"07, 10, 17, 23, 28, 31, 34",MULTI_AGENT_PPO,2,0,ハズレ,0,"03, 07, 12, 17, 23, 28, 34",DIFFUSION,1,1,ハズレ,0,"03, 10, 12, 17, 23, 28, 34",MCTS,1,1,ハズレ,0,"07, 10, 15, 17, 23, 28, 34",MCTS,1,0,ハズレ,0
2013-04-19,3,"02, 07, 08, 11, 14, 23, 31","05, 15",10,3000,0,-3000,ハズレ,2,0,"07, 10, 12, 17, 23, 28, 34",MCTS,2,0,ハズレ,0,"07, 10, 12, 17, 23, 29, 34",MCTS,2,0,ハズレ,0,"07, 10, 12, 17, 23, 33, 34",MCTS,2,0,ハズレ,0,"07, 12, 17, 23, 24, 28, 34",MCTS,2,0,ハズレ,0,"07, 12, 17, 23, 28, 33, 34",MCTS,2,0,ハズレ,0,"10, 12, 17, 23, 28, 33, 34",MCTS,1,0,ハズレ,0,"10, 12, 17, 23, 28, 34, 35",MCTS,1,0,ハズレ,0,"07, 12, 17, 20, 23, 28, 34",GRADE3,2,0,ハズレ,0,"07, 10, 17, 23, 24, 28, 34",MCTS,2,0,ハズレ,0,"07, 10, 17, 23, 28, 29, 34",MCTS,2,0,ハズレ,0
2013-04-26,4,"12, 13, 22, 23, 24, 28, 29","02, 14",10,3000,1000,-2000,6等,3,1,"07, 10, 12, 23, 28, 31, 34",DIFFUSION,3,0,ハズレ,0,"02, 07, 10, 14, 23, 31, 34",DIFFUSION,1,2,ハズレ,0,"02, 07, 14, 23, 31, 33, 34",MULTI_AGENT_PPO,1,2,ハズレ,0,"07, 20, 23, 24, 31, 33, 34",MCTS,2,0,ハズレ,0,"07, 20, 23, 24, 29, 31, 34",GRADE3,3,0,ハズレ,0,"07, 08, 12, 14, 23, 28, 31",DIFFUSION,3,1,6等,1000,"02, 07, 23, 24, 31, 33, 34",MCTS,2,1,ハズレ,0,"07, 12, 23, 24, 31, 33, 34",MCTS,3,0,ハズレ,0,"07, 20, 23, 29, 31, 33, 34",MCTS,2,0,ハズレ,0,"07, 12, 20, 23, 24, 31, 34",GRADE3,3,0,ハズレ,0
2013-05-03,5,"01, 03, 04, 05, 16, 21, 28","22, 31",10,3000,0,-3000,ハズレ,1,0,"07, 12, 23, 24, 28, 29, 34",MCTS,1,0,ハズレ,0,"07, 12, 23, 24, 28, 31, 34",MCTS,1,1,ハズレ,0,"07, 12, 23, 24, 28, 29, 31",GRADE3,1,1,ハズレ,0,"12, 23, 24, 28, 29, 31, 34",MCTS,1,1,ハズレ,0,"07, 12, 23, 24, 29, 31, 34",MCTS,0,1,ハズレ,0,"07, 12, 23, 28, 29, 31, 34",GRADE3,1,1,ハズレ,0,"07, 23, 24, 28, 29, 31, 34",MCTS,1,1,ハズレ,0,"07, 12, 14, 23, 24, 28, 34",MCTS,1,0,ハズレ,0,"08, 12, 23, 24, 28, 29, 34",MCTS,1,0,ハズレ,0,"12, 14, 23, 24, 28, 29, 34",MCTS,1,0,ハズレ,0
2013-05-10,6,"05, 15, 19, 23, 30, 34, 35","06, 25",10,3000,0,-3000,ハズレ,2,0,"07, 12, 23, 24, 28, 29, 34",MONTECARLO,2,0,ハズレ,0,"07, 12, 23, 24, 28, 29, 31",GRADE3,1,0,ハズレ,0,"07, 12, 23, 24, 28, 31, 34",GRADE3,2,0,ハズレ,0,"12, 23, 24, 28, 29, 31, 34",GRADE3,2,0,ハズレ,0,"07, 12, 23, 28, 29, 31, 34",GRADE3,2,0,ハズレ,0,"07, 12, 14, 23, 24, 28, 29",MCTS,1,0,ハズレ,0,"07, 23, 24, 28, 29, 31, 34",MCTS,2,0,ハズレ,0,"07, 12, 23, 24, 29, 31, 34",GRADE3,2,0,ハズレ,0,"07, 13, 23, 24, 28, 29, 34",MCTS,2,0,ハズレ,0,"07, 22, 23, 24, 28, 29, 34",MCTS,2,0,ハズレ,0
2013-05-17,7,"01, 03, 05, 07, 27, 29, 33","06, 15",10,3000,0,-3000,ハズレ,3,0,"05, 12, 23, 24, 28, 29, 34",MCTS,2,0,ハズレ,0,"12, 23, 24, 28, 29, 31, 34",GRADE3,1,0,ハズレ,0,"05, 12, 23, 24, 28, 34, 35",MCTS,1,0,ハズレ,0,"05, 07, 12, 23, 24, 28, 29",DIFFUSION,3,0,ハズレ,0,"05, 12, 23, 24, 28, 31, 34",MCTS,1,0,ハズレ,0,"05, 12, 22, 23, 24, 28, 34",MCTS,1,0,ハズレ,0,"05, 12, 23, 24, 28, 29, 31",MCTS,2,0,ハズレ,0,"05, 12, 23, 28, 29, 31, 34",MCTS,2,0,ハズレ,0,"05, 12, 23, 28, 31, 34, 35",MCTS,1,0,ハズレ,0,"05, 23, 24, 28, 29, 31, 34",GRADE3,2,0,ハズレ,0
2013-05-24,8,"02, 21, 28, 29, 30, 32, 36","06, 08",10,3000,0,-3000,ハズレ,2,0,"05, 12, 23, 24, 28, 29, 34",MCTS,2,0,ハズレ,0,"03, 05, 07, 23, 28, 29, 34",MCTS,2,0,ハズレ,0,"01, 05, 07, 23, 28, 29, 34",GRADE3,2,0,ハズレ,0,"01, 03, 05, 07, 23, 28, 29",GRADE3,2,0,ハズレ,0,"03, 05, 23, 24, 28, 29, 34",MCTS,2,0,ハズレ,0,"01, 03, 05, 23, 28, 29, 34",GRADE3,2,0,ハズレ,0,"01, 03, 05, 07, 23, 28, 34",GRADE3,1,0,ハズレ,0,"05, 12, 23, 24, 28, 34, 35",MCTS,1,0,ハズレ,0,"03, 05, 07, 23, 28, 34, 35",MULTI_AGENT_PPO,1,0,ハズレ,0,"01, 03, 05, 07, 23, 29, 34",GRADE3,1,0,ハズレ,0
2013-05-31,9,"03, 04, 15, 23, 27, 30, 36","13, 35",10,3000,0,-3000,ハズレ,3,0,"03, 05, 07, 23, 28, 29, 34",MCTS,2,0,ハズレ,0,"01, 05, 07, 23, 28, 29, 34",MCTS,1,0,ハズレ,0,"05, 07, 23, 28, 29, 30, 34",MCTS,2,0,ハズレ,0,"07, 12, 23, 28, 29, 33, 34",DIFFUSION,1,0,ハズレ,0,"05, 07, 23, 28, 29, 33, 34",MCTS,1,0,ハズレ,0,"02, 05, 07, 23, 28, 29, 34",MCTS,1,0,ハズレ,0,"01, 03, 05, 23, 28, 29, 34",MCTS,2,0,ハズレ,0,"03, 05, 23, 28, 29, 30, 34",GRADE3,3,0,ハズレ,0,"03, 05, 07, 23, 28, 29, 30",GRADE3,3,0,ハズレ,0,"01, 05, 07, 23, 28, 29, 30",MCTS,2,0,ハズレ,0
2013-06-07,10,"01, 02, 03, 06, 24, 28, 30","16, 20",10,3000,0,-3000,ハズレ,3,0,"03, 05, 21, 23, 28, 29, 30",MCTS,3,0,ハズレ,0,"03, 05, 23, 28, 29, 30, 36",MCTS,3,0,ハズレ,0,"03, 05, 07, 23, 28, 29, 30",MCTS,3,0,ハズレ,0,"03, 05, 23, 28, 29, 30, 34",MCTS,3,0,ハズレ,0,"05, 07, 23, 28, 29, 30, 34",DIFFUSION,2,0,ハズレ,0,"03, 05, 07, 23, 28, 29, 34",GRADE3,2,0,ハズレ,0,"03, 07, 23, 28, 29, 30, 36",MCTS,3,0,ハズレ,0,"03, 05, 07, 23, 28, 30, 34",GRADE3,3,0,ハズレ,0,"03, 05, 21, 23, 28, 29, 36",MONTECARLO,2,0,ハズレ,0,"03, 07, 23, 28, 29, 30, 34",GRADE3,3,0,ハズレ,0
2013-06-14,11,"09, 15, 26, 29, 32, 34, 36","14, 35",10,3000,0,-3000,ハズレ,2,0,"02, 03, 23, 24, 28, 29, 30",MCTS,1,0,ハズレ,0,"01, 02, 03, 23, 28, 29, 30",GRADE3,1,0,ハズレ,0,"01, 03, 05, 23, 28, 29, 30",MCTS,1,0,ハズレ,0,"03, 04, 15, 23, 28, 30, 36",MONTECARLO,2,0,ハズレ,0,"03, 05, 23, 24, 28, 29, 30",MCTS,1,0,ハズレ,0,"02, 03, 05, 23, 28, 29, 30",MCTS,1,0,ハズレ,0,"02, 03, 05, 23, 24, 28, 30",MCTS,0,0,ハズレ,0,"01, 02, 03, 05, 28, 29, 30",GRADE3,1,0,ハズレ,0,"03, 07, 23, 24, 28, 29, 30",MCTS,1,0,ハズレ,0,"01, 02, 03, 05, 23, 28, 30",GRADE3,0,0,ハズレ,0
