カテゴリ,項目,値
期間,開始日,2013-04-12
期間,終了日,2026-05-29
期間,開始回,2
期間,終了回,679
基本,検証回数,678
基本,1回あたり口数,5
基本,総購入口数,3390
収支,購入金額,1017000
収支,当せん金額,178000
収支,収支,-839000
収支,回収率,17.502458%
当選,当選した抽せん回数,81
当選,ハズレのみの抽せん回数,597
当選,抽せん回ベース当選率,11.946903%
当選,当選口数,126
当選,ハズレ口数,3264
当選,口数ベース当選率,3.716814%
収支回数,黒字回数,31
収支回数,収支ゼロ回数,0
収支回数,赤字回数,647
収支回数,黒字率,4.572271%
等級別当選口数,1等,0
等級別当選口数,2等,0
等級別当選口数,3等,0
等級別当選口数,4等,4
等級別当選口数,5等,49
等級別当選口数,6等,73
等級別当選口数,ハズレ,3264
各回ベスト等級分布,1等,0
各回ベスト等級分布,2等,0
各回ベスト等級分布,3等,0
各回ベスト等級分布,4等,3
各回ベスト等級分布,5等,31
各回ベスト等級分布,6等,47
各回ベスト等級分布,ハズレ,597
各回最高本数字一致数,0個一致,34
各回最高本数字一致数,1個一致,182
各回最高本数字一致数,2個一致,280
各回最高本数字一致数,3個一致,148
各回最高本数字一致数,4個一致,31
各回最高本数字一致数,5個一致,3
最大結果,最大当せん金額,22400
最大結果,最大当せん金額日,2015-07-17
最大結果,最大当せん金額等級,4等
最大結果,最大収支,20900
最大結果,最大収支日,2015-07-17
最大結果,最大収支等級,4等
