組合せ,強度
"11, 13, 22, 28, 30, 35, 36",1.0
"07, 08, 09, 13, 27, 28, 30",1.8
"04, 07, 08, 24, 27, 28, 37",1.0
"06, 08, 09, 14, 28, 35, 36",1.0
"03, 04, 07, 10, 20, 35, 36",1.0
"09, 14, 16, 27, 28, 30, 31",1.0
"02, 14, 16, 27, 28, 30, 31",1.0
"03, 09, 14, 20, 27, 30, 36",1.0
"09, 14, 20, 27, 28, 30, 36",1.0
"09, 14, 20, 27, 30, 31, 36",1.8
"01, 09, 20, 27, 28, 30, 36",1.0
"01, 09, 14, 20, 27, 30, 36",1.0
"04, 06, 13, 21, 32, 33, 36",1.0
"04, 06, 13, 21, 31, 32, 36",1.8
"06, 13, 21, 31, 32, 33, 36",1.0
"06, 13, 21, 27, 31, 32, 36",1.0
"06, 13, 21, 28, 31, 32, 36",1.0
"04, 06, 13, 21, 28, 32, 36",1.0
"06, 13, 21, 22, 31, 33, 36",1.8
"04, 06, 13, 28, 31, 32, 36",1.8
"04, 06, 21, 28, 31, 32, 36",1.0
"05, 08, 15, 25, 28, 32, 35",1.0
"02, 03, 09, 13, 21, 34, 36",1.0
"03, 04, 06, 17, 25, 28, 31",1.0
"02, 09, 13, 21, 34, 35, 36",1.0
"02, 09, 13, 21, 26, 31, 34",1.0
"09, 15, 21, 23, 26, 31, 34",1.0
"09, 13, 15, 21, 24, 26, 31",1.0
"01, 13, 15, 21, 24, 26, 31",1.0
"09, 13, 15, 21, 23, 26, 31",1.0
"01, 09, 13, 15, 21, 23, 26",1.0
"01, 09, 15, 21, 23, 26, 31",1.0
"06, 09, 13, 15, 21, 23, 26",1.0
"09, 11, 15, 17, 26, 29, 35",1.0
"11, 15, 17, 23, 26, 29, 35",1.0
"06, 15, 26, 29, 33, 34, 35",1.0
"06, 11, 15, 26, 29, 34, 35",1.0
"03, 10, 15, 17, 24, 30, 34",1.0
"03, 10, 15, 18, 26, 30, 34",1.0
"03, 10, 15, 17, 18, 30, 34",1.0
"03, 10, 15, 18, 24, 30, 34",1.0
"03, 10, 11, 15, 18, 30, 34",1.0
"03, 10, 15, 18, 20, 30, 34",1.0
"10, 11, 17, 18, 29, 30, 31",1.0
"10, 11, 17, 18, 30, 31, 32",1.0
"10, 11, 17, 18, 31, 32, 34",1.0
"06, 08, 15, 22, 26, 27, 32",1.0
"06, 08, 15, 22, 27, 32, 35",1.0
"03, 06, 15, 22, 26, 27, 32",1.0
"08, 10, 15, 22, 26, 27, 32",1.0
"06, 10, 15, 22, 26, 27, 32",1.8
"03, 06, 08, 15, 22, 27, 32",1.0
"09, 14, 15, 20, 23, 26, 36",1.0
"01, 05, 09, 18, 20, 35, 36",1.0
"07, 08, 13, 27, 30, 32, 35",1.0
"05, 07, 08, 13, 27, 30, 32",1.0
"05, 07, 08, 13, 30, 32, 35",1.0
"05, 07, 08, 13, 27, 30, 35",1.0
"05, 15, 22, 25, 29, 31, 37",1.0
"05, 07, 08, 13, 27, 30, 32",1.0
"05, 07, 08, 13, 29, 30, 32",1.0
"01, 02, 11, 17, 20, 31, 37",1.0
"07, 08, 11, 13, 24, 32, 37",1.0
"05, 07, 08, 11, 13, 24, 32",1.0
"01, 05, 09, 14, 18, 26, 29",1.0
"05, 08, 14, 22, 26, 31, 32",1.0
"01, 05, 17, 22, 25, 26, 37",1.0
"01, 05, 22, 25, 26, 36, 37",1.0
"01, 05, 17, 22, 25, 36, 37",1.0
"11, 12, 13, 15, 28, 29, 35",1.0
"09, 13, 14, 26, 27, 28, 29",1.0
"01, 07, 12, 16, 23, 27, 28",1.0
"11, 14, 17, 18, 25, 28, 36",1.0
"11, 14, 17, 18, 25, 28, 34",1.0
"12, 16, 17, 30, 32, 33, 34",1.0
"09, 15, 20, 22, 26, 30, 33",1.0
"15, 18, 19, 20, 28, 30, 34",1.0
"03, 17, 18, 19, 20, 30, 34",1.0
"03, 15, 17, 18, 20, 30, 34",1.0
"05, 07, 12, 30, 32, 33, 35",1.0
"03, 08, 15, 18, 22, 30, 35",1.0
"04, 07, 18, 20, 29, 31, 34",1.0
"09, 10, 12, 18, 29, 32, 34",1.0
"07, 09, 12, 18, 29, 32, 34",1.0
"07, 10, 12, 18, 29, 34, 36",1.0
"07, 12, 18, 20, 29, 34, 36",1.0
"02, 07, 10, 12, 29, 34, 36",1.0
"02, 07, 10, 12, 18, 29, 34",1.0
"02, 10, 12, 18, 29, 34, 36",1.8
"02, 07, 10, 18, 29, 34, 36",1.0
"02, 07, 12, 20, 29, 34, 36",1.0
"02, 10, 12, 20, 29, 34, 36",1.0
"02, 12, 18, 20, 29, 34, 36",1.8
"02, 07, 12, 18, 29, 34, 36",1.8
"07, 10, 12, 18, 29, 34, 36",1.0
"02, 10, 12, 18, 29, 34, 36",1.0
"07, 10, 12, 29, 32, 34, 36",1.0
"02, 07, 10, 12, 29, 34, 36",1.0
"02, 07, 10, 12, 18, 29, 34",1.0
"09, 10, 12, 20, 29, 31, 34",1.0
"01, 07, 12, 20, 29, 30, 34",1.0
"10, 12, 26, 29, 30, 33, 35",1.0
"06, 07, 09, 13, 16, 22, 33",1.0
"06, 07, 12, 13, 16, 22, 33",1.0
"07, 09, 12, 13, 16, 22, 33",1.0
"06, 09, 12, 13, 16, 22, 33",1.0
"06, 07, 09, 12, 13, 16, 33",1.0
"06, 07, 09, 12, 13, 16, 22",1.8
"06, 07, 09, 12, 13, 22, 33",1.8
"06, 07, 09, 12, 16, 22, 24",1.0
