抽せん日,組合せ,一致数,強度
2015-07-17,"07, 08, 09, 13, 27, 28, 30",5,1.0
2016-08-05,"09, 14, 20, 27, 30, 31, 36",5,1.0
2017-04-21,"04, 06, 13, 21, 31, 32, 36",5,1.0
2017-04-21,"06, 13, 21, 22, 31, 33, 36",5,1.0
2017-04-21,"04, 06, 13, 28, 31, 32, 36",5,1.0
2020-11-13,"06, 10, 15, 22, 26, 27, 32",5,1.0
2025-07-11,"02, 10, 12, 18, 29, 34, 36",5,1.0
2025-07-11,"02, 12, 18, 20, 29, 34, 36",5,1.0
2025-07-11,"02, 07, 12, 18, 29, 34, 36",5,1.0
2026-04-24,"06, 07, 09, 12, 13, 16, 22",5,1.0
2026-04-24,"06, 07, 09, 12, 13, 22, 33",5,1.0
