numbers,structural_score,meta_ensemble_score,roi_score,final_score,sum,odd,low,consecutive,range,freq_full,freq_240,freq_120,freq_60,pair_score,bayes_score,zone_1_9,zone_10_18,zone_19_27,zone_28_37,mc_expected_payout,mc_expected_roi,mc_prob_1等,mc_prob_2等,mc_prob_3等,mc_prob_4等,mc_prob_5等,mc_prob_6等,mc_prob_外れ,ensemble_weight_structural
08 09 12 15 18 22 34,101.10670595,101.10670595,19993.1,20195.3134119,118.0,2.0,5.0,1.0,26.0,163.93558173,111.6772634,81.77978141,52.56811976,90.23718278,1.52001794,2.0,3.0,1.0,1.0,600093.0,1999.31,0.001,0.0,0.0,0.002,0.025,0.023,0.949,1.0
01 06 07 08 09 17 36,93.53402579,93.53402579,458.65,645.71805158,84.0,4.0,6.0,3.0,35.0,152.73616767,105.48574296,78.84801441,54.50531383,78.39610606,1.42043288,5.0,1.0,0.0,1.0,14059.5,45.865,0.0,0.002,0.0,0.001,0.015,0.02,0.962,1.0
09 12 15 22 29 34 36,107.5175094,107.5175094,226.82333333,441.85835213,157.0,3.0,3.0,0.0,27.0,163.74250257,111.48444456,81.28097082,51.90903679,87.17501485,1.52416732,1.0,2.0,1.0,3.0,7104.7,22.68233333,0.0,0.001,0.0,0.003,0.019,0.033,0.944,1.0
07 08 09 18 22 34 35,104.40054806,104.40054806,227.20333333,436.00442946,133.0,3.0,4.0,3.0,28.0,160.00116276,108.97707074,79.96784748,52.47060032,86.94783329,1.48682292,3.0,1.0,1.0,2.0,7116.1,22.72033333,0.0,0.001,0.0,0.003,0.022,0.039,0.935,1.0
17 20 22 24 27 29 32,90.66152675,90.66152675,248.42,429.74305349,171.0,3.0,1.0,0.0,15.0,142.79157096,95.71179911,69.7487108,47.31866141,65.98154418,1.34574408,0.0,1.0,4.0,2.0,7752.6,24.842,0.0,0.001,0.001,0.0,0.012,0.031,0.955,1.0
01 06 07 08 12 35 36,98.90161408,98.90161408,225.37666667,423.17989483,105.0,3.0,5.0,3.0,35.0,153.83850108,107.03387711,80.45416145,53.96191382,79.81272263,1.40798475,4.0,1.0,0.0,2.0,7061.3,22.53766667,0.0,0.001,0.0,0.001,0.011,0.029,0.958,1.0
07 08 09 12 22 29 35,109.47824781,109.47824781,16.19666667,235.15316229,122.0,4.0,4.0,2.0,28.0,164.00161731,113.48934132,84.64405844,56.28331429,87.80699005,1.50756981,3.0,1.0,1.0,2.0,785.9,1.61966667,0.0,0.0,0.001,0.001,0.023,0.032,0.943,1.0
01 07 09 12 22 26 34,109.13461371,109.13461371,15.85333333,234.12256076,111.0,3.0,4.0,0.0,33.0,163.05663923,112.25025524,83.07486786,54.06326971,95.87714909,1.49927106,3.0,1.0,2.0,1.0,775.6,1.58533333,0.0,0.0,0.001,0.002,0.012,0.029,0.956,1.0
07 09 12 18 20 22 29,108.70932329,108.70932329,16.40666667,233.82531325,117.0,3.0,4.0,0.0,22.0,163.65629085,112.71617591,82.94779307,54.29702816,90.54597298,1.50342043,2.0,2.0,2.0,1.0,792.2,1.64066667,0.0,0.0,0.001,0.002,0.014,0.042,0.941,1.0
01 08 09 12 22 31 34,107.99751287,107.99751287,17.62,233.61502573,117.0,3.0,4.0,1.0,33.0,161.98172958,111.52373188,83.04243028,54.20752047,89.81674818,1.48682292,3.0,1.0,1.0,2.0,828.6,1.762,0.0,0.0,0.001,0.004,0.022,0.039,0.934,1.0
01 09 12 15 22 29 34,108.19829471,108.19829471,16.39666667,232.79325609,122.0,4.0,4.0,0.0,33.0,164.4314736,112.11205956,81.98283938,52.24005245,90.90990142,1.51586857,2.0,2.0,1.0,2.0,791.9,1.63966667,0.0,0.0,0.001,0.001,0.023,0.038,0.937,1.0
07 09 12 13 20 22 29,107.91140087,107.91140087,15.85666667,231.67946841,112.0,4.0,4.0,1.0,22.0,161.66226477,111.25651404,82.02774614,54.62588831,88.30624589,1.50342043,2.0,2.0,2.0,1.0,775.7,1.58566667,0.0,0.0,0.001,0.001,0.019,0.029,0.95,1.0
09 12 13 18 22 34 35,106.63505999,106.63505999,16.48666667,229.75678664,143.0,3.0,4.0,2.0,26.0,162.54161498,110.86075535,81.01964799,52.94629176,85.46879001,1.4909723,1.0,3.0,1.0,2.0,794.6,1.64866667,0.0,0.0,0.001,0.002,0.022,0.03,0.945,1.0
07 08 12 17 19 22 36,106.30439385,106.30439385,16.59333333,229.20212104,121.0,3.0,4.0,1.0,29.0,158.10729777,109.37447897,81.45514011,56.10816565,79.63258293,1.4909723,2.0,2.0,2.0,1.0,797.8,1.65933333,0.0,0.0,0.001,0.002,0.021,0.035,0.941,1.0
07 08 12 15 22 29 34,106.70837907,106.70837907,15.77666667,229.19342481,127.0,3.0,4.0,1.0,27.0,161.65980973,109.85475039,80.24829181,51.17114107,86.51713614,1.5283167,2.0,2.0,1.0,2.0,773.3,1.57766667,0.0,0.0,0.001,0.001,0.021,0.023,0.954,1.0
07 08 09 15 22 29 34,105.95828219,105.95828219,17.13,229.04656438,124.0,4.0,4.0,2.0,27.0,160.32930972,108.27442174,78.84535042,50.87282474,87.67023155,1.52416732,3.0,1.0,1.0,2.0,813.9,1.713,0.0,0.0,0.001,0.003,0.023,0.035,0.938,1.0
01 08 09 22 29 34 36,106.0970917,106.0970917,16.50333333,228.69751673,139.0,3.0,3.0,1.0,35.0,160.52138261,109.41186302,80.336031,52.32197164,85.08585635,1.49927106,3.0,0.0,1.0,3.0,795.1,1.65033333,0.0,0.0,0.001,0.003,0.017,0.027,0.952,1.0
01 09 12 13 19 22 26,106.51438547,106.51438547,15.29333333,228.32210427,102.0,4.0,4.0,1.0,25.0,159.06789025,109.22440457,81.00076766,54.85206003,86.80997551,1.47852417,2.0,2.0,3.0,0.0,758.8,1.52933333,0.0,0.0,0.001,0.0,0.016,0.03,0.953,1.0
07 08 09 12 15 18 22,105.9621303,105.9621303,16.36,228.28426061,91.0,3.0,6.0,2.0,15.0,163.26359152,112.26119578,83.21842251,55.0333126,89.04336956,1.52001794,3.0,3.0,1.0,0.0,790.8,1.636,0.0,0.0,0.001,0.002,0.016,0.037,0.944,1.0
07 12 13 18 22 29 34,105.90001072,105.90001072,16.01666667,227.81668811,135.0,3.0,4.0,1.0,27.0,161.47005313,109.33371619,79.0531952,50.61301585,84.97777738,1.52416732,1.0,3.0,1.0,2.0,780.5,1.60166667,0.0,0.0,0.001,0.001,0.025,0.023,0.95,1.0
07 08 12 15 22 34 35,105.74260431,105.74260431,15.67333333,227.15854195,133.0,3.0,4.0,2.0,28.0,159.92251319,109.29652827,80.53168557,52.28132522,83.41533168,1.4909723,2.0,2.0,1.0,2.0,770.2,1.56733333,0.0,0.0,0.001,0.0,0.019,0.036,0.944,1.0
07 09 12 18 29 34 36,104.29539489,104.29539489,17.03333333,225.62412312,145.0,3.0,4.0,0.0,29.0,159.73547347,107.93719049,77.55065164,47.65211049,84.6552375,1.51171919,2.0,2.0,0.0,3.0,811.0,1.70333333,0.0,0.0,0.001,0.002,0.025,0.041,0.931,1.0
08 09 12 13 15 22 29,104.14926474,104.14926474,17.16,225.45852948,108.0,4.0,5.0,2.0,21.0,162.13917502,110.57988464,81.47210782,54.04006408,82.04089491,1.52416732,2.0,3.0,1.0,1.0,814.8,1.716,0.0,0.0,0.001,0.002,0.026,0.043,0.928,1.0
01 07 09 18 22 28 29,104.49927612,104.49927612,16.02,225.01855224,114.0,4.0,4.0,1.0,28.0,157.65961263,107.80148191,79.0756479,52.16134195,84.24326783,1.46192666,3.0,1.0,1.0,2.0,780.6,1.602,0.0,0.0,0.001,0.002,0.017,0.025,0.955,1.0
08 09 12 18 22 34 36,104.39609297,104.39609297,16.15333333,224.94551927,139.0,1.0,4.0,1.0,28.0,164.22344583,112.80481086,83.08265766,53.94509195,85.98196781,1.51586857,2.0,2.0,1.0,2.0,784.6,1.61533333,0.0,0.0,0.001,0.002,0.017,0.029,0.951,1.0
07 09 15 22 26 29 34,104.06120725,104.06120725,16.7,224.8224145,142.0,4.0,3.0,0.0,27.0,158.81005529,106.60785358,77.15785486,49.51176512,83.8835909,1.50756981,2.0,1.0,2.0,2.0,801.0,1.67,0.0,0.0,0.001,0.002,0.025,0.031,0.941,1.0
08 12 13 19 22 29 34,104.1091704,104.1091704,15.74666667,223.96500747,137.0,3.0,3.0,1.0,26.0,159.41567732,107.99023598,78.55249099,51.1305517,74.41672505,1.51586857,1.0,2.0,2.0,2.0,772.4,1.57466667,0.0,0.0,0.001,0.0,0.028,0.022,0.949,1.0
08 09 18 22 29 34 36,101.91113146,101.91113146,15.92,219.74226291,156.0,2.0,3.0,1.0,28.0,160.95369704,108.91757167,79.17038948,51.10157521,86.95368638,1.51171919,2.0,1.0,1.0,3.0,777.6,1.592,0.0,0.0,0.001,0.0,0.022,0.038,0.939,1.0
01 06 07 09 12 18 35,102.43319129,102.43319129,14.76,219.62638259,88.0,4.0,6.0,1.0,34.0,157.82724164,109.41461612,81.53713173,54.06926973,87.27285636,1.42043288,4.0,2.0,0.0,1.0,742.8,1.476,0.0,0.0,0.001,0.0,0.016,0.014,0.969,1.0
01 06 07 08 15 22 36,101.1916603,101.1916603,16.16666667,218.54998727,95.0,3.0,5.0,2.0,35.0,154.91038195,107.21101509,80.663517,55.76113483,77.75160405,1.43703039,4.0,1.0,1.0,1.0,785.0,1.61666667,0.0,0.0,0.001,0.002,0.015,0.033,0.949,1.0
01 06 07 08 12 18 35,100.9934121,100.9934121,15.81666667,217.80349087,87.0,3.0,6.0,2.0,34.0,154.95978655,107.16720076,79.99038849,53.07253306,86.22354715,1.41213413,4.0,2.0,0.0,1.0,774.5,1.58166667,0.0,0.0,0.001,0.001,0.02,0.026,0.952,1.0
07 17 22 26 29 34 36,99.41625346,99.41625346,17.50666667,216.33917358,171.0,3.0,2.0,0.0,29.0,155.64954065,104.9024629,76.03159245,50.29543739,78.91817703,1.48267354,1.0,1.0,2.0,3.0,825.2,1.75066667,0.0,0.0,0.001,0.004,0.024,0.032,0.939,1.0
01 07 09 12 22 29 34,110.21688021,110.21688021,-5.99,214.44376043,114.0,4.0,4.0,0.0,33.0,165.50409996,113.85732822,83.79977987,53.8758656,96.20069714,1.52416732,3.0,1.0,1.0,2.0,120.3,-0.599,0.0,0.0,0.0,0.003,0.026,0.036,0.935,1.0
06 07 09 12 22 29 34,110.45382434,110.45382434,-6.77333333,214.13431534,119.0,3.0,4.0,1.0,28.0,165.41197507,114.67153475,85.1745522,56.31445747,93.69991666,1.49927106,3.0,1.0,1.0,2.0,96.8,-0.67733333,0.0,0.0,0.0,0.002,0.021,0.034,0.943,1.0
01 06 07 08 26 33 35,99.27665421,99.27665421,15.18666667,213.73997508,116.0,4.0,4.0,2.0,34.0,147.35406784,101.16666227,75.6115969,51.49825447,80.15495149,1.35819222,4.0,0.0,1.0,2.0,755.6,1.51866667,0.0,0.0,0.001,0.0,0.017,0.025,0.957,1.0
10 12 13 22 26 34 35,98.45048514,98.45048514,16.58333333,213.48430361,152.0,2.0,3.0,2.0,25.0,156.16683771,106.11761632,77.90061525,51.08859102,80.44646932,1.42873164,0.0,3.0,2.0,2.0,797.5,1.65833333,0.0,0.0,0.001,0.003,0.015,0.033,0.948,1.0
01 08 09 12 22 29 34,109.67679163,109.67679163,-6.24333333,213.11024993,115.0,3.0,4.0,1.0,33.0,165.44550325,113.69517414,83.93609566,54.10222067,92.0680932,1.52001794,3.0,1.0,1.0,2.0,112.7,-0.62433333,0.0,0.0,0.0,0.003,0.019,0.041,0.937,1.0
07 09 12 17 22 29 34,109.31382639,109.31382639,-5.78,212.84765278,130.0,4.0,4.0,0.0,27.0,164.96037082,113.09975752,82.86589591,54.43348272,90.57818766,1.5283167,2.0,2.0,1.0,2.0,126.6,-0.578,0.0,0.0,0.0,0.004,0.027,0.028,0.941,1.0
07 08 09 12 22 29 34,109.98576037,109.98576037,-7.13333333,212.83818742,121.0,3.0,4.0,2.0,27.0,165.54129447,113.68528032,83.74829133,54.03004596,91.71718039,1.54076483,3.0,1.0,1.0,2.0,86.0,-0.71333333,0.0,0.0,0.0,0.0,0.03,0.032,0.938,1.0
