base_draw_no,number,freq60,freq120,freq240,sleep,bayes
683,1,14,26,46,2,0.18594910700173858
683,2,11,21,43,5,0.16694325904852222
683,3,9,18,38,13,0.1727912122648965
683,4,9,23,44,13,0.1991070017385807
683,5,10,18,41,6,0.16840524735261578
683,6,16,23,41,4,0.18887308360992572
683,7,15,25,52,6,0.19325904852220643
683,8,11,25,50,4,0.1947210368263
683,9,16,31,53,3,0.21957483799589064
683,10,13,22,41,2,0.1903350719140193
683,11,9,22,43,0,0.19179706021811285
683,12,19,34,54,2,0.17571518887308363
683,13,11,21,50,2,0.2122648964754228
683,14,11,22,47,1,0.1903350719140193
683,15,10,26,51,5,0.2210368262999842
683,16,11,19,40,8,0.16694325904852222
683,17,13,18,48,1,0.19764501343448712
683,18,12,28,51,4,0.1903350719140193
683,19,9,23,48,2,0.17717717717717718
683,20,9,21,42,7,0.1727912122648965
683,21,9,17,37,0,0.1903350719140193
683,22,17,29,55,0,0.19764501343448712
683,23,9,25,36,1,0.18448711869764503
683,24,12,18,38,4,0.17863916548127076
683,25,6,16,41,0,0.15963331752805437
683,26,12,22,47,3,0.20056899004267426
683,27,9,19,43,3,0.1903350719140193
683,28,8,20,42,0,0.18741109530583216
683,29,13,27,54,0,0.1991070017385807
683,30,9,23,45,1,0.20641694325904852
683,31,9,21,44,3,0.1947210368263
683,32,7,17,43,10,0.1947210368263
683,33,14,22,45,2,0.16840524735261578
683,34,12,29,52,5,0.20641694325904852
683,35,15,25,44,2,0.20056899004267426
683,36,11,24,48,0,0.1991070017385807
683,37,10,20,43,13,0.16548127074442864
