rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,3,g003_elite_0000,12053.322798,6,4,0,8,2026-06-14T06:29:03.994671+00:00
2,3,g003_0144_5956,11392.587231,5,8,0,8,2026-06-14T06:29:03.994679+00:00
3,3,g003_0088_8820,10803.52557,5,7,0,8,2026-06-14T06:29:03.994683+00:00
4,3,g003_0152_2148,10671.904264,5,6,0,8,2026-06-14T06:29:03.994685+00:00
5,3,g003_0160_3110,10033.0761,5,5,0,8,2026-06-14T06:29:03.994687+00:00
6,3,g003_0176_8432,9981.101058,5,5,0,8,2026-06-14T06:29:03.994689+00:00
7,3,g003_0048_2157,9976.534643,5,5,0,8,2026-06-14T06:29:03.994691+00:00
8,3,g003_0168_1902,9571.270749,5,5,0,8,2026-06-14T06:29:03.994693+00:00
9,3,g003_elite_0008,9512.230987,5,4,0,8,2026-06-14T06:29:03.994695+00:00
10,3,g003_0032_1458,9214.803898,5,4,0,8,2026-06-14T06:29:03.994697+00:00
