combo,score
02-14-27-34-36,1.44724055
11-17-23-30-36,1.4434977
02-15-19-20-22,1.37558088
09-16-23-29-32,1.30871003
12-17-22-34-35,1.27631486
07-23-33-34-35,1.15313791
02-14-15-27-34,1.1237623
07-11-18-20-30,1.10833084
10-12-19-22-37,1.09246943
03-17-19-28-35,1.03154299
01-16-19-29-32,1.01059737
11-21-22-25-28,1.0
11-21-22-25-29,1.0
11-21-22-25-36,1.0
11-21-22-28-29,1.0
11-21-22-28-36,1.0
11-21-22-29-36,1.0
11-21-25-28-29,1.0
11-21-25-28-36,1.0
11-21-25-29-36,1.0
11-21-28-29-36,1.0
11-22-25-28-29,1.0
11-22-25-28-36,1.0
11-22-25-29-36,1.0
11-22-28-29-36,1.0
11-25-28-29-36,1.0
21-22-25-28-29,1.0
21-22-25-28-36,1.0
21-22-25-29-36,1.0
21-22-28-29-36,1.0
21-25-28-29-36,1.0
22-25-28-29-36,1.0
14-17-23-30-36,0.99844659
07-09-13-14-29,0.99821578
11-14-17-23-28,0.992
11-14-17-23-30,0.992
11-14-17-23-36,0.992
11-14-17-28-30,0.992
11-14-17-28-36,0.992
11-14-17-30-36,0.992
11-14-23-28-30,0.992
11-14-23-28-36,0.992
11-14-23-30-36,0.992
11-14-28-30-36,0.992
11-17-23-28-30,0.992
11-17-23-28-36,0.992
11-17-28-30-36,0.992
11-23-28-30-36,0.992
14-17-23-28-30,0.992
14-17-23-28-36,0.992
14-17-28-30-36,0.992
14-23-28-30-36,0.992
17-23-28-30-36,0.992
01-10-12-13-19,0.984064
01-10-12-13-33,0.984064
01-10-12-13-35,0.984064
01-10-12-19-33,0.984064
01-10-12-19-35,0.984064
01-10-12-33-35,0.984064
01-10-13-19-33,0.984064
01-10-13-19-35,0.984064
01-10-13-33-35,0.984064
01-10-19-33-35,0.984064
01-12-13-19-33,0.984064
01-12-13-19-35,0.984064
01-12-13-33-35,0.984064
01-12-19-33-35,0.984064
01-13-19-33-35,0.984064
10-12-13-19-33,0.984064
10-12-13-19-35,0.984064
10-12-13-33-35,0.984064
10-12-19-33-35,0.984064
10-13-19-33-35,0.984064
12-13-19-33-35,0.984064
09-10-22-26-27,0.97619149
09-10-22-26-31,0.97619149
09-10-22-26-36,0.97619149
09-10-22-27-31,0.97619149
09-10-22-27-36,0.97619149
09-10-22-31-36,0.97619149
09-10-26-27-31,0.97619149
09-10-26-27-36,0.97619149
09-10-26-31-36,0.97619149
09-10-27-31-36,0.97619149
09-22-26-27-31,0.97619149
09-22-26-27-36,0.97619149
09-22-26-31-36,0.97619149
09-22-27-31-36,0.97619149
09-26-27-31-36,0.97619149
10-22-26-27-31,0.97619149
10-22-26-27-36,0.97619149
10-22-26-31-36,0.97619149
10-22-27-31-36,0.97619149
10-26-27-31-36,0.97619149
22-26-27-31-36,0.97619149
06-08-09-18-22,0.96838196
06-08-09-18-24,0.96838196
06-08-09-18-35,0.96838196
06-08-09-22-24,0.96838196
06-08-09-22-35,0.96838196
06-08-09-24-35,0.96838196
06-08-18-22-24,0.96838196
06-08-18-22-35,0.96838196
06-08-18-24-35,0.96838196
06-08-22-24-35,0.96838196
06-09-18-22-24,0.96838196
06-09-18-22-35,0.96838196
06-09-18-24-35,0.96838196
06-09-22-24-35,0.96838196
06-18-22-24-35,0.96838196
08-09-18-22-24,0.96838196
08-09-18-22-35,0.96838196
08-09-18-24-35,0.96838196
08-09-22-24-35,0.96838196
08-18-22-24-35,0.96838196
09-18-22-24-35,0.96838196
02-06-12-15-24,0.9606349
02-06-12-15-26,0.9606349
02-06-12-15-34,0.9606349
02-06-12-24-26,0.9606349
02-06-12-24-34,0.9606349
02-06-12-26-34,0.9606349
02-06-15-24-26,0.9606349
02-06-15-24-34,0.9606349
02-06-15-26-34,0.9606349
02-06-24-26-34,0.9606349
02-12-15-24-26,0.9606349
02-12-15-24-34,0.9606349
02-12-15-26-34,0.9606349
02-12-24-26-34,0.9606349
02-15-24-26-34,0.9606349
06-12-15-24-26,0.9606349
06-12-15-24-34,0.9606349
06-12-15-26-34,0.9606349
06-12-24-26-34,0.9606349
06-15-24-26-34,0.9606349
12-15-24-26-34,0.9606349
02-04-14-15-22,0.96000091
08-18-20-30-34,0.95788917
02-17-18-22-23,0.95527758
05-06-07-08-15,0.95294982
05-06-07-08-17,0.95294982
05-06-07-08-19,0.95294982
05-06-07-15-17,0.95294982
05-06-07-15-19,0.95294982
05-06-07-17-19,0.95294982
05-06-08-15-17,0.95294982
05-06-08-15-19,0.95294982
05-06-08-17-19,0.95294982
05-06-15-17-19,0.95294982
05-07-08-15-17,0.95294982
05-07-08-15-19,0.95294982
05-07-08-17-19,0.95294982
05-07-15-17-19,0.95294982
05-08-15-17-19,0.95294982
06-07-08-15-17,0.95294982
06-07-08-15-19,0.95294982
06-07-08-17-19,0.95294982
06-07-15-17-19,0.95294982
06-08-15-17-19,0.95294982
07-08-15-17-19,0.95294982
02-06-15-19-20,0.94532622
02-06-15-19-22,0.94532622
02-06-15-19-27,0.94532622
02-06-15-20-22,0.94532622
02-06-15-20-27,0.94532622
02-06-15-22-27,0.94532622
02-06-19-20-22,0.94532622
02-06-19-20-27,0.94532622
02-06-19-22-27,0.94532622
02-06-20-22-27,0.94532622
02-15-19-20-27,0.94532622
02-15-19-22-27,0.94532622
02-15-20-22-27,0.94532622
02-19-20-22-27,0.94532622
06-15-19-20-22,0.94532622
06-15-19-20-27,0.94532622
06-15-19-22-27,0.94532622
06-15-20-22-27,0.94532622
06-19-20-22-27,0.94532622
15-19-20-22-27,0.94532622
05-08-16-18-24,0.93776361
05-08-16-18-28,0.93776361
05-08-16-18-31,0.93776361
05-08-16-24-28,0.93776361
05-08-16-24-31,0.93776361
05-08-16-28-31,0.93776361
05-08-18-24-28,0.93776361
05-08-18-24-31,0.93776361
05-08-18-28-31,0.93776361
05-08-24-28-31,0.93776361
05-16-18-24-28,0.93776361
05-16-18-24-31,0.93776361
05-16-18-28-31,0.93776361
05-16-24-28-31,0.93776361
05-18-24-28-31,0.93776361
08-16-18-24-28,0.93776361
08-16-18-24-31,0.93776361
08-16-18-28-31,0.93776361
08-16-24-28-31,0.93776361
08-18-24-28-31,0.93776361
16-18-24-28-31,0.93776361
01-08-11-18-22,0.93188605
01-06-07-09-12,0.9302615
01-06-07-09-22,0.9302615
01-06-07-09-26,0.9302615
01-06-07-12-22,0.9302615
01-06-07-12-26,0.9302615
01-06-07-22-26,0.9302615
01-06-09-12-22,0.9302615
01-06-09-12-26,0.9302615
01-06-09-22-26,0.9302615
01-06-12-22-26,0.9302615
01-07-09-12-22,0.9302615
01-07-09-12-26,0.9302615
01-07-09-22-26,0.9302615
01-07-12-22-26,0.9302615
01-09-12-22-26,0.9302615
06-07-09-12-22,0.9302615
06-07-09-12-26,0.9302615
06-07-09-22-26,0.9302615
06-07-12-22-26,0.9302615
06-09-12-22-26,0.9302615
07-09-12-22-26,0.9302615
06-09-10-12-16,0.92281941
06-09-10-12-24,0.92281941
06-09-10-12-32,0.92281941
06-09-10-16-24,0.92281941
06-09-10-16-32,0.92281941
06-09-10-24-32,0.92281941
06-09-12-16-24,0.92281941
06-09-12-16-32,0.92281941
06-09-12-24-32,0.92281941
06-09-16-24-32,0.92281941
06-10-12-16-24,0.92281941
06-10-12-16-32,0.92281941
06-10-12-24-32,0.92281941
06-10-16-24-32,0.92281941
06-12-16-24-32,0.92281941
09-10-12-16-24,0.92281941
09-10-12-16-32,0.92281941
09-10-12-24-32,0.92281941
09-10-16-24-32,0.92281941
09-12-16-24-32,0.92281941
10-12-16-24-32,0.92281941
07-11-15-16-17,0.91543686
07-11-15-16-24,0.91543686
07-11-15-16-33,0.91543686
07-11-15-17-24,0.91543686
07-11-15-17-33,0.91543686
07-11-15-24-33,0.91543686
07-11-16-17-24,0.91543686
07-11-16-17-33,0.91543686
07-11-16-24-33,0.91543686
07-11-17-24-33,0.91543686
07-15-16-17-24,0.91543686
07-15-16-17-33,0.91543686
07-15-16-24-33,0.91543686
07-15-17-24-33,0.91543686
07-16-17-24-33,0.91543686
11-15-16-17-24,0.91543686
11-15-16-17-33,0.91543686
11-15-16-24-33,0.91543686
11-15-17-24-33,0.91543686
11-16-17-24-33,0.91543686
15-16-17-24-33,0.91543686
07-13-16-22-28,0.90811336
07-13-16-22-33,0.90811336
07-13-16-22-36,0.90811336
07-13-16-28-33,0.90811336
07-13-16-28-36,0.90811336
07-13-16-33-36,0.90811336
07-13-22-28-33,0.90811336
07-13-22-28-36,0.90811336
07-13-22-33-36,0.90811336
07-13-28-33-36,0.90811336
07-16-22-28-33,0.90811336
07-16-22-28-36,0.90811336
07-16-22-33-36,0.90811336
07-16-28-33-36,0.90811336
07-22-28-33-36,0.90811336
13-16-22-28-33,0.90811336
13-16-22-28-36,0.90811336
13-16-22-33-36,0.90811336
13-16-28-33-36,0.90811336
13-22-28-33-36,0.90811336
16-22-28-33-36,0.90811336
01-28-29-30-34,0.90525714
03-04-09-10-18,0.90084845
03-04-09-10-21,0.90084845
03-04-09-10-37,0.90084845
03-04-09-18-21,0.90084845
03-04-09-18-37,0.90084845
03-04-09-21-37,0.90084845
