model,feature,mean_abs_shap
lightgbm,freq_full,1.1088123665585532
lightgbm,freq_240,1.0499498371957097
lightgbm,freq_60,0.25551423465487116
lightgbm,sum,0.22376637471551178
lightgbm,freq_120,0.15460020172517222
lightgbm,low,0.14632164876234924
lightgbm,mb4_score,0.14602549617626834
lightgbm,pair_score,0.14472481887255403
lightgbm,mb5_score,0.06572406028572447
lightgbm,zone_10_18,0.06451291351161417
lightgbm,zone_1_9,0.04538234531776176
lightgbm,range,0.037743805940454005
lightgbm,odd,0.036246832041626174
lightgbm,zone_19_27,0.025163860309149876
lightgbm,zone_28_37,0.02249850007955736
lightgbm,consecutive,0.014021441142258555
lightgbm,mb6_score,0.0
