created_at,iteration,genome_id,objective_name,objective_version,hit_first_objective_score,match_quality_score,temporal_segment_match_score_min,temporal_segment_match_score_median,diversity_quality_score,average_max_main_match,draw_main4_plus_rate_percent,draw_main5_plus_count,draw_main6_plus_count,average_portfolio_unique_numbers,mean_ticket_pair_overlap,payout_roi_percent,profit,top1_payout_share,best_hit_first_objective_score
2026-07-24T01:38:37.858033+00:00,1,g001_0001_9146,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,17.889829,12.52556,12.034895,12.192995,66.959855,2.119708,6.131,3,0,14.519708,3.847883,17.333,-849400,0.094891,17.889829
2026-07-24T19:11:31.035732+00:00,1,g001_0001_6423,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,12.771527,10.211385,9.35673,10.1763,36.538626,1.747813,4.519,4,0,9.845481,5.722741,24.325,-778700,0.138634,12.99177
2026-07-24T19:12:08.184908+00:00,2,g002_0002_4182,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,15.205965,11.50148,11.228085,11.28291,49.027328,1.938776,5.539,5,0,11.476676,4.818805,20.505,-818000,0.124645,15.205965
2026-07-28T02:33:02.257557+00:00,3,g003_0003_2704,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,15.146771,11.15889,10.614045,10.787018,51.919823,1.957726,4.082,5,0,12.134111,4.739942,19.747,-825800,0.128445,15.205965
2026-07-28T02:42:36.702374+00:00,4,g004_0004_6916,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,13.125087,10.459175,9.88305,10.30499,37.764215,1.771137,4.665,7,0,10.016035,5.638921,28.62,-734500,0.174873,15.205965
2026-07-28T03:17:22.091942+00:00,5,g005_0005_8743,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,15.335489,11.70554,10.994165,11.500068,48.820698,1.947522,5.977,6,0,11.568513,4.889213,22.303,-799500,0.151198,15.335489
2026-07-28T03:51:58.377089+00:00,6,g006_0006_8985,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,12.725537,10.08746,9.6221,10.101245,36.82398,1.746356,4.082,4,1,9.915452,5.717347,89.961,-103300,0.788592,15.335489
2026-07-28T04:15:15.863173+00:00,7,g007_0007_6801,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,15.455326,11.83673,10.994165,11.631393,48.943149,1.947522,6.122,9,0,11.594752,4.885131,24.83,-773500,0.102935,15.455326
2026-07-28T04:49:54.568420+00:00,8,g008_0008_6767,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,15.243232,11.21721,10.233925,11.09378,52.412172,1.957726,4.373,4,0,12.206997,4.708309,18.134,-842400,0.106645,15.455326
2026-07-28T04:50:14.585489+00:00,9,g009_0094_3363,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,12.595772,10.10933,9.38954,9.89767,35.803572,1.744898,4.227,4,0,9.672012,5.739796,21.808,-804600,0.11631,15.455326
2026-07-28T05:05:25.508841+00:00,10,g010_0010_2350,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,15.297843,11.50875,10.877205,11.39944,50.036084,1.957726,5.248,5,0,11.810496,4.840087,22.167,-800900,0.1153,15.455326
2026-07-28T05:06:02.327054+00:00,11,g011_0011_9665,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,15.29116,11.596215,10.847965,11.385417,49.397227,1.951895,5.539,6,0,11.51895,4.789213,21.574,-807000,0.118468,15.455326
2026-07-28T05:56:58.177266+00:00,12,g012_0123_1462,hit_first_temporal_robustness,loto7-hit-first-2026.07.22-v1,18.254191,12.951905,12.0349,12.99708,66.654157,2.120991,7.143,7,0,14.447522,3.854956,21.001,-812900,0.066173,18.254191
