system,role_key,role_label,target_draw_no,target_date,base_latest_draw_no,ticket_index,numbers,main_match,bonus_match,rank,payout
role_ensemble,main_best,本命: 採用ベストモデル,2,2013-04-12,1,1,09 10 12 17 23 28 34,1,1,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,2,2013-04-12,1,2,01 06 08 17 23 28 34,1,0,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,2,2013-04-12,1,3,07 10 12 17 23 28 34,1,1,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,2,2013-04-12,1,4,10 12 13 17 23 28 34,1,1,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,2,2013-04-12,1,5,07 13 14 15 23 28 34,1,0,外れ,0
best_model,best_rank_1,best_model_top5,2,2013-04-12,1,1,07 10 12 17 23 28 34,1,1,外れ,0
best_model,best_rank_2,best_model_top5,2,2013-04-12,1,2,01 07 10 12 23 28 34,1,1,外れ,0
best_model,best_rank_3,best_model_top5,2,2013-04-12,1,3,01 07 10 17 23 28 34,1,0,外れ,0
best_model,best_rank_4,best_model_top5,2,2013-04-12,1,4,01 07 12 17 23 28 34,1,1,外れ,0
best_model,best_rank_5,best_model_top5,2,2013-04-12,1,5,01 10 12 17 23 28 34,1,1,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,3,2013-04-19,2,1,07 10 12 17 29 31 34,2,0,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,3,2013-04-19,2,2,02 07 10 20 31 33 35,3,0,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,3,2013-04-19,2,3,07 10 12 23 24 33 34,2,0,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,3,2013-04-19,2,4,07 10 17 23 28 34 35,2,0,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,3,2013-04-19,2,5,03 08 17 23 28 29 34,2,0,外れ,0
best_model,best_rank_1,best_model_top5,3,2013-04-19,2,1,07 10 12 17 23 28 34,2,0,外れ,0
best_model,best_rank_2,best_model_top5,3,2013-04-19,2,2,20 24 29 31 33 34 35,1,0,外れ,0
best_model,best_rank_3,best_model_top5,3,2013-04-19,2,3,07 10 12 17 20 23 34,2,0,外れ,0
best_model,best_rank_4,best_model_top5,3,2013-04-19,2,4,07 10 12 17 23 24 34,2,0,外れ,0
best_model,best_rank_5,best_model_top5,3,2013-04-19,2,5,07 10 12 17 23 29 34,2,0,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,4,2013-04-26,3,1,02 07 08 23 31 34 35,1,1,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,4,2013-04-26,3,2,07 11 12 14 23 31 34,2,1,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,4,2013-04-26,3,3,07 10 17 20 23 31 34,1,0,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,4,2013-04-26,3,4,02 07 14 23 29 31 34,2,2,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,4,2013-04-26,3,5,07 10 12 24 29 33 34,3,0,外れ,0
best_model,best_rank_1,best_model_top5,4,2013-04-26,3,1,02 07 08 11 23 31 34,1,1,外れ,0
best_model,best_rank_2,best_model_top5,4,2013-04-26,3,2,02 07 08 14 23 31 34,1,2,外れ,0
best_model,best_rank_3,best_model_top5,4,2013-04-26,3,3,02 07 11 14 23 31 34,1,2,外れ,0
best_model,best_rank_4,best_model_top5,4,2013-04-26,3,4,07 08 11 14 23 31 34,1,1,外れ,0
best_model,best_rank_5,best_model_top5,4,2013-04-26,3,5,02 07 08 11 14 23 31,1,2,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,5,2013-05-03,4,1,07 12 14 23 24 29 31,0,1,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,5,2013-05-03,4,2,07 12 13 23 24 28 34,1,0,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,5,2013-05-03,4,3,07 12 13 23 24 28 29,1,0,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,5,2013-05-03,4,4,10 12 23 28 29 31 34,1,1,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,5,2013-05-03,4,5,07 08 10 14 23 31 35,0,1,外れ,0
best_model,best_rank_1,best_model_top5,5,2013-05-03,4,1,07 12 23 24 28 29 34,1,0,外れ,0
best_model,best_rank_2,best_model_top5,5,2013-05-03,4,2,07 12 13 23 24 28 34,1,0,外れ,0
best_model,best_rank_3,best_model_top5,5,2013-05-03,4,3,07 12 13 23 28 29 34,1,0,外れ,0
best_model,best_rank_4,best_model_top5,5,2013-05-03,4,4,07 12 13 23 24 28 29,1,0,外れ,0
best_model,best_rank_5,best_model_top5,5,2013-05-03,4,5,07 12 23 24 28 29 31,1,1,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,6,2013-05-10,5,1,05 07 12 23 28 31 34,3,0,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,6,2013-05-10,5,2,03 07 16 21 28 29 34,1,0,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,6,2013-05-10,5,3,07 12 16 23 24 28 29,1,0,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,6,2013-05-10,5,4,07 08 12 23 28 29 34,2,0,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,6,2013-05-10,5,5,02 12 13 22 23 29 34,2,0,外れ,0
best_model,best_rank_1,best_model_top5,6,2013-05-10,5,1,07 12 23 24 28 29 34,2,0,外れ,0
best_model,best_rank_2,best_model_top5,6,2013-05-10,5,2,07 12 13 23 24 28 34,2,0,外れ,0
best_model,best_rank_3,best_model_top5,6,2013-05-10,5,3,07 12 13 23 28 29 34,2,0,外れ,0
best_model,best_rank_4,best_model_top5,6,2013-05-10,5,4,07 12 13 23 24 28 29,1,0,外れ,0
best_model,best_rank_5,best_model_top5,6,2013-05-10,5,5,07 12 23 24 28 29 31,1,0,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,7,2013-05-17,6,1,05 07 12 23 28 31 34,2,0,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,7,2013-05-17,6,2,05 12 15 19 30 31 34,1,1,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,7,2013-05-17,6,3,12 15 23 24 28 29 34,1,1,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,7,2013-05-17,6,4,05 19 23 24 28 34 35,1,0,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,7,2013-05-17,6,5,07 08 10 23 28 29 31,2,0,外れ,0
best_model,best_rank_1,best_model_top5,7,2013-05-17,6,1,05 07 12 23 24 28 34,2,0,外れ,0
best_model,best_rank_2,best_model_top5,7,2013-05-17,6,2,05 07 12 23 28 29 34,3,0,外れ,0
best_model,best_rank_3,best_model_top5,7,2013-05-17,6,3,05 07 12 23 28 34 35,2,0,外れ,0
best_model,best_rank_4,best_model_top5,7,2013-05-17,6,4,07 12 23 24 28 29 34,2,0,外れ,0
best_model,best_rank_5,best_model_top5,7,2013-05-17,6,5,05 07 12 23 28 31 34,2,0,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,8,2013-05-24,7,1,05 07 12 23 28 31 34,1,0,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,8,2013-05-24,7,2,01 03 07 12 27 28 34,1,0,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,8,2013-05-24,7,3,01 03 05 07 28 29 33,2,0,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,8,2013-05-24,7,4,01 05 23 24 28 29 34,2,0,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,8,2013-05-24,7,5,11 12 17 23 24 28 34,1,0,外れ,0
best_model,best_rank_1,best_model_top5,8,2013-05-24,7,1,05 07 12 23 28 29 34,2,0,外れ,0
best_model,best_rank_2,best_model_top5,8,2013-05-24,7,2,01 05 07 23 28 29 34,2,0,外れ,0
best_model,best_rank_3,best_model_top5,8,2013-05-24,7,3,03 05 07 23 28 29 34,2,0,外れ,0
best_model,best_rank_4,best_model_top5,8,2013-05-24,7,4,05 07 23 24 28 29 34,2,0,外れ,0
best_model,best_rank_5,best_model_top5,8,2013-05-24,7,5,05 07 12 23 24 28 29,2,0,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,9,2013-05-31,8,1,03 05 07 28 29 30 34,2,0,外れ,0
role_ensemble,high_match,高一致狙い: ペア/3連/最大一致重視,9,2013-05-31,8,2,01 02 07 21 24 28 29,0,0,外れ,0
role_ensemble,recent120,直近寄り: 直近120回/60回の流れ重視,9,2013-05-31,8,3,02 07 12 23 28 29 30,2,0,外れ,0
role_ensemble,mid_high,中高数字補正: 20番台後半〜30番台も押さえる,9,2013-05-31,8,4,01 05 12 23 28 29 34,1,0,外れ,0
role_ensemble,contrarian,荒れ目/逆張り: 休眠・広めレンジ・低重複,9,2013-05-31,8,5,07 10 17 23 24 28 34,1,0,外れ,0
best_model,best_rank_1,best_model_top5,9,2013-05-31,8,1,02 05 07 23 28 29 34,1,0,外れ,0
best_model,best_rank_2,best_model_top5,9,2013-05-31,8,2,01 05 07 23 28 29 34,1,0,外れ,0
best_model,best_rank_3,best_model_top5,9,2013-05-31,8,3,03 05 07 23 28 29 34,2,0,外れ,0
best_model,best_rank_4,best_model_top5,9,2013-05-31,8,4,05 07 23 28 29 30 34,2,0,外れ,0
best_model,best_rank_5,best_model_top5,9,2013-05-31,8,5,05 07 23 24 28 29 34,1,0,外れ,0
role_ensemble,main_best,本命: 採用ベストモデル,10,2013-06-07,9,1,03 05 15 23 28 30 36,3,0,外れ,0
