generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at,source_file
1,g001_0123_5401,26726.975523,620,3100,6,0,1,0,7,44,74,2974,0.2278336324152209,0.17379981755090654,0.5859969873845637,0.012369562649308745,0.15408561388886538,0.0948697308414499,0.060217068839834964,0.08156663360620788,0.03979595958183958,0.1791756665039416,0.25912556055266467,0.3155572359788559,0.06632018113690571,4,22,89,170,2,3,4,2026-06-12T02:06:01.156431+00:00,outputs/evolution_history_shard03_of_04.csv
3,g003_0140_7492,26690.856101,621,3105,6,0,0,2,8,46,82,2967,0.3563515434146698,0.26223894314267215,0.3192297140115454,0.062179799431112764,0.14419330323575338,0.21466401547218908,0.054019786353031514,0.13218114531417818,0.040461845672651264,0.4220637358951931,0.16529907366280386,0.3569651419908401,0.6352679023653818,6,20,104,181,2,0,4,2026-06-13T00:45:01.180574+00:00,outputs/evolution_history_shard00_of_04.csv
3,g003_elite_0000,26472.988202,621,3105,6,0,1,0,7,39,80,2978,0.3537104516407658,0.08389302517606143,0.41909404620616236,0.1433024769770105,0.17795923923662024,0.14306237160526764,0.031990122755792966,0.0609038282025314,0.023159616787213125,0.3207080372269348,0.436944084024798,0.31235700886512985,0.1806958591562063,4,21,98,185,2,0,4,2026-06-12T22:01:05.877560+00:00,outputs/evolution_history_shard00_of_04.csv
0,g000_0060_2358,26454.988861,620,3100,6,0,1,0,7,39,80,2973,0.3537104516407658,0.08389302517606143,0.41909404620616236,0.1433024769770105,0.17795923923662024,0.14306237160526764,0.031990122755792966,0.0609038282025314,0.023159616787213125,0.3207080372269348,0.436944084024798,0.31235700886512985,0.1806958591562063,4,21,98,185,2,0,4,2026-06-11T09:57:01.525402+00:00,outputs/evolution_history_shard00_of_04.csv
1,g001_elite_0000,26454.988861,620,3100,6,0,1,0,7,39,80,2973,0.3537104516407658,0.08389302517606143,0.41909404620616236,0.1433024769770105,0.17795923923662024,0.14306237160526764,0.031990122755792966,0.0609038282025314,0.023159616787213125,0.3207080372269348,0.436944084024798,0.31235700886512985,0.1806958591562063,4,21,98,185,2,0,4,2026-06-11T11:45:13.104974+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_elite_0000,26454.988861,620,3100,6,0,1,0,7,39,80,2973,0.3537104516407658,0.08389302517606143,0.41909404620616236,0.1433024769770105,0.17795923923662024,0.14306237160526764,0.031990122755792966,0.0609038282025314,0.023159616787213125,0.3207080372269348,0.436944084024798,0.31235700886512985,0.1806958591562063,4,21,98,185,2,0,4,2026-06-11T22:30:25.751487+00:00,outputs/evolution_history_shard00_of_04.csv
0,g000_0065_1528,25620.060886,620,3100,6,0,1,0,5,44,83,2967,0.3939953692797167,0.17111604800880295,0.22496614621013775,0.2099224365013428,0.1631507173247381,0.04706497073344663,0.11715483412117063,0.09320605589074417,0.030634994424488176,0.2546020872013058,0.5021532571687436,0.11793088116568701,0.5690692864889342,4,14,90,187,1,1,4,2026-06-11T10:13:16.489293+00:00,outputs/evolution_history_shard01_of_04.csv
3,g003_0100_1818,25177.91681,621,3105,6,0,1,0,5,41,74,2984,0.30770179464546527,0.19451856966818226,0.4265198385937257,0.07125979709262688,0.19747030319904973,0.23180431757694775,0.015477820034456528,0.0674347140210712,0.011552862749394724,0.4110624737705115,0.3924141806847483,0.4187352821723094,0.1686975882088379,4,22,101,180,1,0,4,2026-06-13T00:05:59.818604+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_0067_9382,25161.335675,620,3100,6,0,0,1,10,54,79,2956,0.3279139545599781,0.2477688488643863,0.16082405275849776,0.26349314381713795,0.09033836587585359,0.13101482399849346,0.08328548339495656,0.07472789470389332,0.056803587348122915,0.34321178193561463,0.5624263551350736,0.19483129776502853,0.3786072610207629,5,18,77,163,0,3,4,2026-06-12T04:44:36.754019+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0058_7946,24628.186521,620,3100,6,0,1,0,4,43,71,2981,0.1749343113537788,0.39958607078256575,0.3492200642237327,0.07625955363992273,0.15604995463320062,0.08021347733710345,0.12869961846989705,0.09173949405293244,0.016037401091872676,0.22216503356856435,0.45188201214671675,0.26140885813614423,0.44552653263597275,4,21,102,161,2,2,4,2026-06-12T05:15:05.884709+00:00,outputs/evolution_history_shard02_of_04.csv
